{'L': 0.25, 'omega': 0.25, 'n': 96, 'normalized_shift': 6.160638222245972e-05, 'normalized_identity_error': 1.4701669340922867e-20, 'base_identity_error': 5.204170427930421e-18, 'min_sampled_shifted_conductance': 1.9341341017664604e-07}
{'L': 0.25, 'omega': 0.25, 'n': 192, 'normalized_shift': 6.160638222245958e-05, 'normalized_identity_error': 1.2033798842763213e-19, 'base_identity_error': 3.63207727782644e-17, 'min_sampled_shifted_conductance': 1.2212704181280287e-08}
{'L': 0.25, 'omega': 0.5, 'n': 96, 'normalized_shift': 0.0002465723817368088, 'normalized_identity_error': 2.951686508602274e-20, 'base_identity_error': 5.204170427930421e-18, 'min_sampled_shifted_conductance': 1.9337971579602709e-07}
{'L': 0.25, 'omega': 0.5, 'n': 192, 'normalized_shift': 0.00024657238173680826, 'normalized_identity_error': 4.232264347718987e-19, 'base_identity_error': 3.63207727782644e-17, 'min_sampled_shifted_conductance': 1.2210578770321945e-08}
{'L': 0.6931471805599453, 'omega': 0.25, 'n': 96, 'normalized_shift': -0.0013692893166040799, 'normalized_identity_error': 2.0453693772937464e-18, 'base_identity_error': 8.955509944730267e-17, 'min_sampled_shifted_conductance': 7.357233849925038e-08}
{'L': 0.6931471805599453, 'omega': 0.25, 'n': 192, 'normalized_shift': -0.001369289316604075, 'normalized_identity_error': 1.1047721796556044e-17, 'base_identity_error': 7.460395148872756e-16, 'min_sampled_shifted_conductance': 4.645661799695944e-09}
{'L': 0.6931471805599453, 'omega': 0.5, 'n': 96, 'normalized_shift': -0.005496873917942666, 'normalized_identity_error': 8.857812983266785e-18, 'base_identity_error': 8.955509944730267e-17, 'min_sampled_shifted_conductance': 7.477879981898639e-08}
{'L': 0.6931471805599453, 'omega': 0.5, 'n': 192, 'normalized_shift': -0.005496873917942647, 'normalized_identity_error': 4.420725014124252e-17, 'base_identity_error': 7.460395148872756e-16, 'min_sampled_shifted_conductance': 4.721874891089328e-09}
{'L': 0.7, 'omega': 0.25, 'n': 96, 'normalized_shift': -0.0014273655540766059, 'normalized_identity_error': 2.1050376984425284e-18, 'base_identity_error': 7.24247051220317e-17, 'min_sampled_shifted_conductance': 7.297069987144411e-08}
{'L': 0.7, 'omega': 0.25, 'n': 192, 'normalized_shift': -0.0014273655540766007, 'normalized_identity_error': 1.1965616804102971e-17, 'base_identity_error': 7.943949317801291e-16, 'min_sampled_shifted_conductance': 4.6076746862411255e-09}
{'L': 0.7, 'omega': 0.5, 'n': 96, 'normalized_shift': -0.0057304586088784675, 'normalized_identity_error': 8.748483717803917e-18, 'base_identity_error': 7.24247051220317e-17, 'min_sampled_shifted_conductance': 7.421074232905056e-08}
{'L': 0.7, 'omega': 0.5, 'n': 192, 'normalized_shift': -0.005730458608878448, 'normalized_identity_error': 4.685628567501796e-17, 'base_identity_error': 7.943949317801291e-16, 'min_sampled_shifted_conductance': 4.68600902525651e-09}
{'even_polynomial_gamma_diagnostic': 0.005544682598627393, 'flattened_model': -0.004406839079293734}
